ACSF1 {'acc': 0.9, 'auprc': 0.9263312641464815}
Phoneme {'acc': 0.3037974683544304, 'auprc': 0.15426786918720273}
PickupGestureWiimoteZ {'acc': 0.84, 'auprc': 0.9069009177097413}
PigAirwayPressure {'acc': 0.7355769230769231, 'auprc': 0.7889041939395447}
PigArtPressure {'acc': 0.9615384615384616, 'auprc': 0.9777930402930403}
PigCVP {'acc': 0.8413461538461539, 'auprc': 0.8877308677831413}
Plane {'acc': 0.9904761904761905, 'auprc': 0.9976837610044018}
PowerCons {'acc': 0.9555555555555556, 'auprc': 0.9927276565236036}
ProximalPhalanxOutlineAgeGroup {'acc': 0.8536585365853658, 'auprc': 0.7395290449472949}
ProximalPhalanxOutlineCorrect {'acc': 0.852233676975945, 'auprc': 0.9587146197387472}
ProximalPhalanxTW {'acc': 0.8097560975609757, 'auprc': 0.5735076271818017}
RefrigerationDevices {'acc': 0.608, 'auprc': 0.6489106323081513}
Rock {'acc': 0.74, 'auprc': 0.7683593893064058}
ScreenType {'acc': 0.4266666666666667, 'auprc': 0.43288955442814164}
SemgHandGenderCh2 {'acc': 0.9316666666666666, 'auprc': 0.9644099253105277}
SemgHandMovementCh2 {'acc': 0.8844444444444445, 'auprc': 0.9231015648945364}
SemgHandSubjectCh2 {'acc': 0.9488888888888889, 'auprc': 0.9660807686344415}
ShakeGestureWiimoteZ {'acc': 0.92, 'auprc': 0.9422020202020203}
ShapeletSim {'acc': 1.0, 'auprc': 0.9999999999999999}
ShapesAll {'acc': 0.8833333333333333, 'auprc': 0.9041632928333104}
SmallKitchenAppliances {'acc': 0.7413333333333333, 'auprc': 0.8176191323054249}
SmoothSubspace {'acc': 0.96, 'auprc': 0.9946921945192525}
SonyAIBORobotSurface1 {'acc': 0.9051580698835274, 'auprc': 0.9946943333409344}
SonyAIBORobotSurface2 {'acc': 0.9139559286463799, 'auprc': 0.982795916386834}
StarLightCurves {'acc': 0.9707382224380767, 'auprc': 0.9772184474328963}
Strawberry {'acc': 0.9756756756756757, 'auprc': 0.9975262399970373}
SwedishLeaf {'acc': 0.9376, 'auprc': 0.9531103528668093}
Symbols {'acc': 0.9678391959798995, 'auprc': 0.9889317063397541}
SyntheticControl {'acc': 1.0, 'auprc': 1.0}
ToeSegmentation1 {'acc': 0.9385964912280702, 'auprc': 0.9782519664994282}
ToeSegmentation2 {'acc': 0.9076923076923077, 'auprc': 0.9189317046789227}
Trace {'acc': 1.0, 'auprc': 0.9999999999999998}
TwoLeadECG {'acc': 0.9402985074626866, 'auprc': 0.9958248619478489}
TwoPatterns {'acc': 1.0, 'auprc': 1.0}
UMD {'acc': 0.9930555555555556, 'auprc': 1.0}
UWaveGestureLibraryAll {'acc': 0.9316024567280848, 'auprc': 0.9533763220455579}
UWaveGestureLibraryX {'acc': 0.7981574539363484, 'auprc': 0.8163528114678087}
UWaveGestureLibraryY {'acc': 0.7247347850362926, 'auprc': 0.7396400838108097}
UWaveGestureLibraryZ {'acc': 0.760748185371301, 'auprc': 0.7706608658540806}
Wafer {'acc': 0.9967553536664504, 'auprc': 0.9999790562331291}
Wine {'acc': 0.8888888888888888, 'auprc': 0.9381337824816083}
WordSynonyms {'acc': 0.677115987460815, 'auprc': 0.570200017255999}
Worms {'acc': 0.7792207792207793, 'auprc': 0.8232202251233869}
WormsTwoClass {'acc': 0.8051948051948052, 'auprc': 0.8333460037539819}
Yoga {'acc': 0.8766666666666667, 'auprc': 0.9049636751081722}
