ACSF1 {'acc': 0.71, 'auprc': 0.7636895775733068}
PLAID {'acc': 0.5232774674115456, 'auprc': 0.5091777247394964}
PhalangesOutlinesCorrect {'acc': 0.7808857808857809, 'auprc': 0.8695751334246422}
Phoneme {'acc': 0.26582278481012656, 'auprc': 0.11474786221588715}
PickupGestureWiimoteZ {'acc': 0.78, 'auprc': 0.8607990810359232}
PigAirwayPressure {'acc': 0.1875, 'auprc': 0.21571050749321696}
PigArtPressure {'acc': 0.38461538461538464, 'auprc': 0.4291243251836118}
PigCVP {'acc': 0.25961538461538464, 'auprc': 0.3236668593958946}
Plane {'acc': 1.0, 'auprc': 1.0}
PowerCons {'acc': 0.9944444444444445, 'auprc': 1.0}
ProximalPhalanxOutlineAgeGroup {'acc': 0.8634146341463415, 'auprc': 0.7653129650794721}
ProximalPhalanxOutlineCorrect {'acc': 0.8625429553264605, 'auprc': 0.9722816095561426}
ProximalPhalanxTW {'acc': 0.7902439024390244, 'auprc': 0.5640987597888447}
RefrigerationDevices {'acc': 0.592, 'auprc': 0.663620602725501}
Rock {'acc': 0.58, 'auprc': 0.712205461742409}
ScreenType {'acc': 0.42133333333333334, 'auprc': 0.4386981216584512}
SemgHandGenderCh2 {'acc': 0.9416666666666667, 'auprc': 0.9758185055153797}
SemgHandMovementCh2 {'acc': 0.86, 'auprc': 0.8880336954512665}
SemgHandSubjectCh2 {'acc': 0.9577777777777777, 'auprc': 0.9750041508659324}
ShakeGestureWiimoteZ {'acc': 0.86, 'auprc': 0.9066147186147185}
ShapeletSim {'acc': 0.5444444444444444, 'auprc': 0.6018797331642227}
ShapesAll {'acc': 0.84, 'auprc': 0.8524068356346993}
SmallKitchenAppliances {'acc': 0.7466666666666667, 'auprc': 0.8075251091444672}
SmoothSubspace {'acc': 0.9666666666666667, 'auprc': 0.9930826668661}
SonyAIBORobotSurface1 {'acc': 0.8435940099833611, 'auprc': 0.9868512442897469}
SonyAIBORobotSurface2 {'acc': 0.85099685204617, 'auprc': 0.96698171241863}
StarLightCurves {'acc': 0.9565322972316659, 'auprc': 0.9496443272921135}
Strawberry {'acc': 0.9567567567567568, 'auprc': 0.9933712205454384}
SwedishLeaf {'acc': 0.9472, 'auprc': 0.9557788983976848}
Symbols {'acc': 0.9517587939698492, 'auprc': 0.9853655414065997}
SyntheticControl {'acc': 0.99, 'auprc': 0.9984508752543163}
ToeSegmentation1 {'acc': 0.8771929824561403, 'auprc': 0.920481836892117}
ToeSegmentation2 {'acc': 0.8846153846153846, 'auprc': 0.7864567871793886}
Trace {'acc': 0.99, 'auprc': 0.9999999999999998}
TwoLeadECG {'acc': 0.9525899912203687, 'auprc': 0.9925739307768029}
TwoPatterns {'acc': 0.9995, 'auprc': 0.9998426308873533}
UMD {'acc': 0.9930555555555556, 'auprc': 0.9902581654778654}
UWaveGestureLibraryAll {'acc': 0.9667783361250698, 'auprc': 0.9833913454849152}
UWaveGestureLibraryX {'acc': 0.8151870463428252, 'auprc': 0.8321663112132932}
UWaveGestureLibraryY {'acc': 0.7219430485762144, 'auprc': 0.7414967949499385}
UWaveGestureLibraryZ {'acc': 0.7426018983807928, 'auprc': 0.7567368300946583}
Wafer {'acc': 0.9972420506164829, 'auprc': 0.9999641539898638}
Wine {'acc': 0.7962962962962963, 'auprc': 0.9175359782831045}
WordSynonyms {'acc': 0.6739811912225705, 'auprc': 0.5428064792076756}
Worms {'acc': 0.6623376623376623, 'auprc': 0.6915597293488125}
WormsTwoClass {'acc': 0.6623376623376623, 'auprc': 0.7651931594702575}
Yoga {'acc': 0.8566666666666667, 'auprc': 0.8979659386918986}
